Book,Author,Date Published,Genre/Themes,URL
Juliet Takes a Breath,Gabby Rivera,2019,Queer fiction,https://www.goodreads.com/book/show/28648863-juliet-takes-a-breath?ref=nav_sb_ss_1_12
Pachinko,Min Jin Lee,2017,Korean/Japanese historical fiction,https://www.goodreads.com/book/show/34051011-pachinko?ref=nav_sb_ss_1_6
One Hundred Years of Solitude,Gabriel Garcia Marquez,1967,"Fiction, magical realism",https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude?ref=nav_sb_ss_1_11
Howl's Moving Castle,Diana Wynne Jones,1986,"Fantasy, romance",https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle?ref=nav_sb_ss_1_13
The Kiss Quotient,Helen Hoang,2018,"Fiction, Neurodivergent romance",https://www.goodreads.com/book/show/36199084-the-kiss-quotient?ref=nav_sb_ss_1_10
Middlesex,Jeffrey Eugenides,2002,Intersex/trans historical fiction,https://www.goodreads.com/book/show/2187.Middlesex?ref=nav_sb_ss_1_8
The Seed Keeper,Diane Wilson,2021,Native American historical fiction,https://www.goodreads.com/book/show/52639051-the-seed-keeper?ref=nav_sb_ss_3_9
Orlando,Virginia Woolf,1928,LGBT historical fiction,https://www.goodreads.com/book/show/18839.Orlando
Get a Life!,Vivienne Westwood,2016,"fashion, autobiography",https://www.goodreads.com/book/show/32606229-get-a-life
Feminism is for Everybody,Bell Hooks,2000,"NF, politics, feminism",https://www.goodreads.com/book/show/168484.Feminism_Is_for_Everybody
All About Love,Bell Hooks,1999,"NF feminism, self-help",https://www.goodreads.com/book/show/17607.All_About_Love
Bad Feminist,Roxane Gay,2014,"feminism, memoir",https://www.goodreads.com/book/show/18813642-bad-feminist
The Bloody Chamber,Angela Carter,1979,"modern fairy tales ",https://www.goodreads.com/book/show/55859893-the-bloody-chamber
A Love Letter to This Bridge Called My Back,Mult,2022,Essays by POC writers,https://www.goodreads.com/book/show/61613341-a-love-letter-to-this-bridge-called-my-back
The Female Eunuch,Germaine Greer,1970,"feminist NF, philosophy, politics",https://www.goodreads.com/book/show/98532.The_Female_Eunuch
In Search of Our Mothers' Gardens,Alice Walker,1983,"feminist, African American essays",https://www.goodreads.com/book/show/60943.In_Search_of_Our_Mothers_Gardens
The Woman Destroyed,Simone de Beauvoir,1967,"feminist short stories, NF",https://www.goodreads.com/book/show/141421.The_Woman_Destroyed
The Coming of Age,Simone de Beauvoir,1972,"philosophy, NF, feminism, psychology",https://www.goodreads.com/book/show/21122.The_Coming_of_Age
She Came to stay,Simone de Beauvoir,1943,"fiction, philosophy, feminism",https://www.goodreads.com/book/show/21121.She_Came_to_Stay
"Women, Culture, and Politics",Angela Y. Davis,1989,"feminism, NF, politics, history",https://www.goodreads.com/book/show/818709.Women_Culture_and_Politics
The Golden Notebook,Doris Lessing,1962,"fiction, feminism",https://www.goodreads.com/book/show/24100.The_Golden_Notebook
Women and Power,Mary Beard,2017,"manifesto, feminism",https://www.goodreads.com/book/show/36525023-women-power
Everything I Know About love,Dolly Alderton,2018,"NF, memoir, romance, self-help",https://www.goodreads.com/book/show/46041465-everything-i-know-about-love
Tar Baby,Toni Morrison,1981,"fiction, African American, romance",https://www.goodreads.com/book/show/11359.Tar_Baby
The Beauty Myth,Naomi Wolf,1990,"NF, psychology, gender studies",https://www.goodreads.com/book/show/39926.The_Beauty_Myth
The Second Sex,Simone de Beauvoir,1949,"NF, philosophy, feminism",https://www.goodreads.com/book/show/457264.The_Second_Sex
Gender Trouble,Judith Butler,1990,"NF, philosophy, feminism","https://www.goodreads.com/book/show/85767.Gender_Trouble "
Americanah,Chimamande Ngozi Adichie,2013,"feminism, African America",https://www.goodreads.com/book/show/15796700-americanah
